"","HB1","HB4","HB10","HB13","HB17","HB20","HB23","HB26","HB29","HB34","HC1","HC2","HC4","HC5","HC6","HC7","HC8","HC9","HC10","HC11","HC12","HC13","HC14","HC15","HC16","HC17","HC18","HC19","HC20","HC21","HC22","MET1","MET2","MET3","MET4","MET5","MET6","MET7","MET8","MET9","MET10","MET11","MET12","MET13","MET14","MET15","MET16","MET17","MET18","MET19","MET20","MET21","SB1","SB4","SB8","SB12","SB16","SB20","SB24","SB28","SB32","SB36","SB39","SB42","SB45","SB49","SB52"
"hsa-piR-30758",0,2,2,5,1,0,3,1,0,2,2,1,1,1,4,0,1,0,0,4,0,2,0,2,0,1,2,1,1,0,0,0,2,2,0,0,0,0,2,0,0,2,1,2,1,0,4,0,0,0,3,3,8,1,1,0,2,1,3,2,1,3,0,1,1,0,7
"hsa-piR-30778",0,0,5,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,2,8,0,0,0,0,1,4,9,0,2,1,0,0,0,1,0,0,1,1,2,1,0,0,0,1,0,0,0,2,0,6,1,1,8,1,1,0,1,1,0,0,0,0,1,0,1,1,22
"hsa-piR-31039",0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,1,0,0,0,0,2,0,0,1,2,0,1,1,2,0,0,1,0,1,0,2,0,0,1,4,1,0,1,1,1,0,0,2,0,0,0,0,0,0,0
"hsa-piR-31040",2,1,0,2,0,2,1,4,1,2,0,2,2,1,1,1,1,3,1,0,4,3,3,3,3,2,0,7,3,3,2,0,8,1,0,2,3,0,1,3,6,6,1,2,4,0,0,2,1,2,9,9,2,2,1,2,1,2,0,3,1,1,0,2,1,3,1
"hsa-piR-32002",1,0,1,3,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,2,1,1,0,1,0,0,2,0,1,1,0,2,1,1,2,2,0,0,1,0,3,3,1,3,0,0,1,2,3,1,1,2,1,0,0,2,1,7
"hsa-piR-32164",0,0,1,8,1,2,1,2,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,1,1,0,4,2,3,0,6,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,4,3,1,1,1,2,0,5,3,2,2,2,1,3,1,3,1,1
"hsa-piR-32237",1,0,0,23,3,2,1,1,1,0,0,1,1,2,1,1,1,2,3,2,5,3,1,2,1,2,1,3,2,0,1,1,27,2,0,1,1,1,0,0,1,0,0,3,1,0,4,2,4,4,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-piR-32924",0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,2,0,0,0,0,0,6,0,1,1,3,0,0,0,0,1,2,0,0,0,0,0,0,1
"hsa-piR-32925",0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,3,0,1,0,0,11,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-piR-32945",1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,2,0,0,0,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-piR-32971",2,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,2,0,2,0,1,2,0,0,0,0,0,1,1,1,0,0,1,1,0,1,2,0,0,1,0,4,0,2,1,0,1,3,2,3,1,1,2,9,1,6,6,3,6,5,3,2,1,0,1,0,3
"hsa-piR-32985",0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0
"hsa-piR-33108",1,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,38,0,0,16,1,1,2,0,1,0,3,0,1,1,1,1,0,0,3,2,0,0,0,0,2,1,0,4,4,1,3,5,12,4,3,9,6,5,12,5,3,7
