"primary_gene_id","Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"B3GLCT","Q6Y288",15271.5,10,155.347849178507,-1.20204775831654,0.0103560957158584,10,0,3682,4042,3805,3742.5,0
"LBP","P18428",15266,7,144.981104073364,0.924283470993759,0.012099297564134,12,0,3611,3884,3887,3884,0
"ERMP1","Q7Z2K6",15260,9,166.576380985853,0.610938669417092,0.0280703876086448,16,0,3749,3410,4069,4032,0
"UBE2O","Q9C0C9",15259.5,20,214.835343473958,-0.698997495900185,0.0102820137423785,13,0,3929,3596,3801,3933.5,0
"MBOAT7","Q96N66",15258,17,198.904607046823,-0.890287063868605,0.00765326633881715,12,0,3890,3858,3626,3884,0
"KCMF1","Q9P0J7",15258,6,133.011082773004,0.998668158825293,0.00996630170260318,16,0,3506,3934,3786,4032,0
"FAM114A1","Q8IWE2",15249.5,9,149.530802240034,0.870966960599289,0.0102550231568186,14,0,3637,3839,3799,3974.5,0
"MAGEB2","O15479",15246,22,220.374692585496,-0.835970176810143,0.0115867464628072,9,0,3944,3799,3861,3642,0
"DYNC1LI2","O43237",15234.5,25,226.591413253037,-0.707851214746048,0.00883551584521562,13,0,3958,3623,3720,3933.5,0
"EML1","O00423",15233,27,291.981207758244,0.923122080415138,0.00799118949742021,9,0,4061,3882,3648,3642,0
"TRIM24","O15164",15224.5,28,260.870399445799,1.07252105195684,0.00615925322771534,10,0,4029,3972,3481,3742.5,0
"DNAJB11","Q9UBS4",15211,6,135.497890679934,0.837057111826376,0.0170274347147811,12,0,3537,3802,3988,3884,0
"RPH3A","Q9Y2J0",15209,12,179.58758065611,-1.15117967837118,0.00898599126630288,9,0,3814,4018,3735,3642,0
"CHGA","P10645",15206.5,13,175.224897306255,0.786198594872031,0.00904780845739847,13,0,3793,3741,3739,3933.5,0
"PSMD13","Q9UNM6",15202,19,198.809572757091,0.841155556924167,0.00839813044711927,11,0,3889,3809,3684,3820,0
"COPS5","Q92905",15201.5,28,249.028830182484,-0.982385920111552,0.0158703191939627,7,0,4004,3925,3967,3305.5,0
"CBLL1","Q75N03",15201,13,179.051043509412,0.703460827214846,0.0156418798561633,11,0,3810,3609,3962,3820,0
"GNL1","P36915",15199,22,231.276318379263,1.06512257086909,0.00960062772948922,8,0,3966,3969,3762,3502,0
