"Molecule","combined_score","sig_count","fischers_combined_p","mean_logFC","MeanDecreaseGini_mean","stability","identified_biomarker","rank.fischers_combined_p","rank.abs_mean_logFC","rank.MeanDecreaseGini_mean","rank.stability","score.identified_biomarker"
"hsa-miR-574-5p",157.5,0,30.6243142158417,0.0554032158307141,0.0293559445685368,13,0,42,30,50,35.5,0
"hsa-piR-14992",157,0,35.1162698919175,0.156739931288045,0.02051517672665,12,0,52,70,9,26,0
"hsa-miR-106b-3p",156,0,24.167834207277,-0.0385156458456559,0.0291867039107132,15,0,28,24,47,57,0
"hsa-piR-28258",156,0,36.0161138783971,0.152814447180246,0.0265432585130703,7,0,54,67,34,1,0
"hsa-miR-15b-5p",155.5,0,28.7592177324159,0.0339439103084066,0.0244096844191539,16,0,37,20,28,70.5,0
"hsa-piR-28275",154.5,0,27.3018729489958,-0.0979203935512253,0.0258796707117492,14,0,35,43,32,44.5,0
"hsa-miR-21-5p",154,0,15.8817328546383,0.00899943377168887,0.0406321565131979,15,0,1,3,93,57,0
"hsa-piR-28264",151.5,0,18.9949099947758,-0.0259937639464021,0.0301998987390095,16,0,14,15,52,70.5,0
"hsa-piR-32941",148,0,38.0969976521385,0.15027406985163,0.0227519280446997,9,0,59,64,21,4,0
"hsa-piR-33182",143,0,31.005663120878,-0.121759630650037,0.022138980870858,12,0,45,55,17,26,0
"hsa-piR-28276",141,0,19.0741567691222,-0.0137949826370747,0.0261723350657042,17,0,15,10,33,83,0
"hsa-miR-15a-5p",140,0,34.7005047167996,0.115958201365396,0.0211590639259311,12,0,51,50,13,26,0
"hsa-piR-32912",140,0,38.3757001298165,0.164814875808417,0.0159889248833822,8,0,60,76,2,2,0
"hsa-piR-28063",132,0,33.4919872931507,0.104853251416249,0.024333722887878,10,0,50,45,27,10,0
"hsa-miR-148a-3p",130.5,0,31.919114572059,-0.0541396490066292,0.0226476748756147,13,0,47,29,19,35.5,0
"hsa-miR-30a-5p",127,0,15.9897816687203,-0.0364533370257643,0.0288224853194231,15,0,2,22,46,57,0
"hsa-miR-30d-5p",122.5,0,28.9986123435709,0.0647366585924618,0.0249073345746749,11,0,40,35,30,17.5,0
"hsa-piR-20918",110,0,18.5574603323939,0.0474899606158539,0.0221847809244062,15,0,8,27,18,57,0
"hsa-piR-28278",109.5,0,22.7524329950913,-0.0599958072635862,0.0275285452153152,11,0,22,31,39,17.5,0
"hsa-piR-23127",100,0,22.8644718587755,0.038486744328171,0.0281778483572982,10,0,23,23,44,10,0
"hsa-miR-3615",96.5,0,25.7944329783371,0.0120150021562382,0.0208345364142139,14,0,31,9,12,44.5,0
"hsa-piR-1901",85,0,24.7181834269005,0.0624325087386737,0.0212459671335579,10,0,29,32,14,10,0
"hsa-piR-18682",80,0,20.3380939913934,-0.0244505645993,0.0274097031428195,10,0,19,13,38,10,0
"hsa-piR-33031",76,0,23.8117928986121,0.0244659702363243,0.0243308920236289,10,0,26,14,26,10,0
"hsa-piR-32845",72,0,18.9762288044977,-0.0298047435473229,0.022086794564542,12,0,12,18,16,26,0
"hsa-piR-32913",70,0,23.7255417101273,0.0203720816318613,0.0240889716349386,10,0,25,12,23,10,0
"hsa-piR-28533",59,0,18.9566617071798,-0.0118576571850051,0.0268860229089347,9,0,11,8,36,4,0
"hsa-piR-28277",53.5,0,18.9921553039874,-0.0293443987044456,0.0196482285603002,11,0,13,17,6,17.5,0
"hsa-piR-28265",52,0,17.5423411145925,-0.0112498356451284,0.0212907353247103,12,0,4,7,15,26,0
"hsa-piR-33112",50,0,19.6392312482439,-0.00995460388731531,0.0191028944537728,12,0,16,4,4,26,0
"hsa-piR-32852",47.5,0,17.9788772833623,-0.00584914813884125,0.0195334702678306,13,0,6,1,5,35.5,0
"hsa-miR-139-3p",39,0,17.7937917308555,0.0304095416648718,0.020818693611197,9,0,5,19,11,4,0
"hsa-piR-27484",16,0,16.4003480202757,-0.00704347525447258,0.0125523487413759,10,0,3,2,1,10,0
